source_file,source_row,board,model,candidate,method_family,throughput_or_metric,gain_or_delta,accuracy,replay,decision,outcome_class,evidence_path
02_evidence_raw/local_pi5/pi5_phase_vk_reports_20260404/gpu_layer_compare_matrix.csv,1,unknown,yolo11n,baseline,other,81.61792,,,,unspecified,success_or_retained,02_evidence_raw/local_pi5/pi5_phase_vk_reports_20260404/gpu_layer_compare_matrix.csv
02_evidence_raw/local_pi5/pi5_phase_vk_reports_20260404/gpu_layer_compare_matrix.csv,4,unknown,yolo11s,baseline,other,154.490601,,,,unspecified,success_or_retained,02_evidence_raw/local_pi5/pi5_phase_vk_reports_20260404/gpu_layer_compare_matrix.csv
02_evidence_raw/remote_stm32/custom_kernel/f746_custom_kernel_matrix.csv,1,f746,unknown,f746_custom_kernel_matrix_next_executable_candidate,operator_autotune,,,,,pending_candidate_build,success_or_retained,02_evidence_raw/remote_stm32/custom_kernel/f746_custom_kernel_matrix.csv
02_evidence_raw/remote_stm32/operator_autotune/operator_registry.csv,5,unknown,vww,vww,fixed_shape_codegen;cmsis_nn_ofast;operator_autotune,,,,,unspecified,success_or_retained,02_evidence_raw/remote_stm32/operator_autotune/operator_registry.csv
02_evidence_raw/remote_stm32/operator_autotune/operator_registry.csv,9,unknown,kws,kws,fixed_shape_codegen;cmsis_nn_ofast;operator_autotune,,,,,unspecified,success_or_retained,02_evidence_raw/remote_stm32/operator_autotune/operator_registry.csv
02_evidence_raw/remote_stm32/operator_autotune/operator_registry.csv,12,unknown,ad,ad,static_schedule;cmsis_nn_ofast;operator_autotune,,,,,unspecified,success_or_retained,02_evidence_raw/remote_stm32/operator_autotune/operator_registry.csv
02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv,1,f746,ad,ad,g0_sram_rescue,,,pass_top1_78.1_auc_0.862,,retained_baseline,success_or_retained,02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv
02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv,3,f746,ad,ad,cmsis_nn_ofast,,,pass_top1_78.1_auc_0.862,,retained_new_latency_best,success_or_retained,02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv
02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv,4,f746,ic,ic,cmsis_nn_ofast,,,pass_top1_87.5_auc_0.988,,retained_new_latency_best,success_or_retained,02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv
02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv,5,f746,kws,kws,cmsis_nn_ofast,,,pass_top1_90.1_auc_0.995,,retained_new_latency_best,success_or_retained,02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv
02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv,6,f746,vww,vww,cmsis_nn_ofast,,,pass_top1_85.8_auc_0.937,,retained_new_latency_best,success_or_retained,02_evidence_raw/remote_stm32/optimization/compiler_flag_matrix.csv
02_evidence_raw/remote_stm32/optimization/f746_ad_custom_impl_matrix.csv,1,f746,ad,ad_static_schedule_direct_cmsis_s8,static_schedule,379.890,0.956,pending,,aggressive_candidate_pending_accuracy_5x_replay,success_or_retained,02_evidence_raw/remote_stm32/optimization/f746_ad_custom_impl_matrix.csv
02_evidence_raw/remote_stm32/optimization/f746_ad_custom_impl_matrix.csv,2,f746,ad,ad_static_schedule_direct_cmsis_s8_unchecked,static_schedule,not_run,not_run,not_run,,build_only_runnable_artifact_created,success_or_retained,02_evidence_raw/remote_stm32/optimization/f746_ad_custom_impl_matrix.csv
